client_id,first_name,last_name,date_of_birth,phone,email,first_purchase,address_city,address_street,address_localite,address_postcode,address_canton
b2-0705495H,Jean-Pierre,Boillat,1937-03-29,+41 (0)81 642 34 65,jean-pierreboillat@hotmail.fr,2021-07-07,Carouge GE,Chemin FILLION 2,Carouge GE,1227,GE
f8-1929207d,Josiane,Blanc,1993-09-01,033 240 48 96,josiane.blanc@vtxnet.ch,2021-07-07,Villmergen,Geislerain 19.1,Villmergen,5612,AG
a6-4453855n,Samuel,Boechat,1945-09-27,040 834 95 27,s_boechat@hispeed.ch,2021-07-07,Schlossrued,Wüestmattstrasse 7,Schlossrued,5044,AG
R9-2293675e,Michel,Coigny,1984-08-10,+41 47 822 77 73,m.coigny@romandie.com,2021-07-07,Dietikon,Oetwilerstrasse 25.1,Dietikon,8953,ZH
R4-2046894C,Nelly,Polla,1968-07-13,+41 98 821 21 88,nelly_polla@hispeed.ch,2021-07-07,Utzenstorf,Bärenweg 27,Utzenstorf,3427,BE
J1-1063505A,Romain,Wicht,1940-06-14,+41 (0)78 439 07 90,r_wicht514@yahoo.fr,2021-07-07,Saint-Imier,Rue de la Clef 24,St-Imier,2610,BE
P2-1866013K,Fabienne,Théraulaz,1977-06-19,+41 (0)51 444 18 76,fabiennetheraulaz801@hispeed.ch,2021-07-07,Windisch,Dahlienweg 8,Windisch,5210,AG
y5-7046055A,Clara,Rosselat,1986-03-16,070 027 91 95,clara_rosselat979@yahoo.fr,2021-07-07,Brislach,Zwingenstrasse 74,Brislach,4225,BL
c4-4783922W,Jacqueline,Coigny,1955-01-04,079 629 92 59,jacqueline_coigny149@vtxnet.ch,2021-07-08,Genève,Rue des Délices 2,Genève,1203,GE
b6-5779095p,Jean-Claude,Broquet,2001-03-15,+41 71 988 81 78,jean-claude_broquet437@vtxnet.ch,2021-07-08,Zürich,Distelweg 3a,Zürich,8048,ZH
f2-6072155Z,Corinne,Gilliéron,1971-03-05,+41 (0)48 174 59 47,cgillieron876@gmail.com,2021-07-08,Küssnacht,Artherstrasse 170.2,Immensee,6405,SZ
f4-6306229t,Lucas,Cosandey,1957-07-13,+41 (0)57 376 79 44,l_cosandey@sunrise.ch,2021-07-08,Wiler b. Utzenstorf,Neumattstrasse 10,Wiler b. Utzenstorf,3428,BE
g3-2768604U,Matteo,Broquet,1998-05-15,051 481 41 55,matteo_broquet911@gmail.com,2021-07-08,Sursee,Schellenrain 12.1,Sursee,6210,LU
u1-6797335n,Jean-Claude,Bernasconi,1963-08-05,028 546 79 30,j_bernasconi@romandie.com,2021-07-08,Gunzgen,Römerweg Ost 17.1,Gunzgen,4617,SO
h9-5205024U,Noah,Romanens,2003-04-11,+41 (0)55 856 39 09,noahromanens94@hotmail.fr,2021-07-08,Lancy,Avenue Eugène-LANCE 22a,Grand-Lancy,1212,GE
b1-8692916X,Liliane,Cretton,1966-11-08,+41 62 462 03 28,l.cretton379@yahoo.fr,2021-07-08,Zuchwil,Ulmenweg 10,Zuchwil,4528,SO
U3-5487564R,Kevin,Théraulaz,1971-01-01,+41 (0)54 409 53 20,k.theraulaz@gmail.com,2021-07-08,Nyon,Rue de la Combe 3,Nyon,1260,VD
E1-5797944h,Simone,Conrad,1940-12-13,+41 (0)58 165 06 25,s.conrad@hispeed.ch,2021-07-08,Lugano,Via Bertaro Lambertenghi 8,Lugano,6900,TI
v9-7775976T,Jean,Besençon,1995-10-06,+41 (0)52 376 32 45,jean.besencon380@bluewin.ch,2021-07-08,Ebikon,Hartenfelsstrasse 63.1,Ebikon,6030,LU
l8-6151845f,Antonio,Humbert,1967-05-01,+41 (0)91 705 11 39,antonio_humbert622@hotmail.fr,2021-07-08,Oftringen,Jungfraustrasse 2,Oftringen,4665,AG
u5-0805593o,Marie,Bonvini,1978-02-10,+41 (0)25 259 54 26,mbonvini@sunrise.ch,2021-07-08,Martigny,L'Ile à Bernard 5z,Martigny,1920,VS
P5-1441077E,Jean-Pierre,Fonjallaz,1986-03-15,+41 87 433 61 41,j.fonjallaz@romandie.com,2021-07-08,Ormalingen,Büelen 225,Ormalingen,4466,BL
U1-8717583w,Sarah,Vallélian,1971-02-18,+41 81 415 54 19,sarahvallelian@romandie.com,2021-07-08,Ebikon,Kaspar-Kopp-Strasse 89,Ebikon,6030,LU
F2-4249070A,Thomas,Grojean,1950-01-07,+41 (0)80 102 26 25,tgrojean145@hotmail.fr,2021-07-08,Bauma,Wellenau 21.2,Bauma,8494,ZH
O3-9486659u,Hélène,Vallélian,1941-08-07,+41 (0)50 376 41 78,helene.vallelian@vtxnet.ch,2021-07-08,Zuzwil BE,Schwallmatt 22,Zuzwil BE,3303,BE
I2-0676548J,Matteo,Crivelli,1949-10-06,+41 (0)96 217 30 75,matteo_crivelli@bluewin.ch,2021-07-09,Aclens,Route des Alpes 2,Aclens,1123,VD
z8-9334799P,Ethan,Duroux,1997-05-14,040 539 15 58,ethanduroux413@vtxnet.ch,2021-07-09,Altdorf UR,Langmattgasse 51a,Altdorf UR,6460,UR
K4-4158452l,Germaine,Rapraz,1990-01-26,+41 (0)76 931 77 05,germaine_rapraz709@hotmail.fr,2021-07-09,Lugano,Via Carolina Maraini-Sommaruga 25a,Lugano,6900,TI
U2-5784799K,Maxime,Blanc,1967-05-05,054 747 12 41,m_blanc136@yahoo.fr,2021-07-09,Sissach,Bützenenweg 7b,Sissach,4450,BL
y5-3174221r,Camille,Bernasconi,1997-03-07,+41 (0)65 403 08 70,camille.bernasconi891@hotmail.fr,2021-07-09,Mies,Chemin de la Crota 19,Mies,1295,VD
k3-0547056F,Roland,Nüsslin,1942-11-28,056 235 03 54,rnusslin@sunrise.ch,2021-07-09,Windisch,Wagnerhof 6,Windisch,5210,AG
i7-8201189P,Lara,Vonlanthen,2001-10-07,+41 (0)37 109 34 64,lara_vonlanthen843@yahoo.fr,2021-07-09,Geroldswil,Bühlstrasse 10,Geroldswil,8954,ZH
I4-9983119F,Laura,Besançon,1962-01-30,+41 58 331 04 81,laura.besancon96@sunrise.ch,2021-07-09,Basel,Erikastrasse 6,Basel,4057,BS
k1-5906121h,Jessica,Joye,1992-07-23,+41 25 444 64 80,jessica.joye264@hispeed.ch,2021-07-09,Seengen,Obere Sonnenbergstrasse 15,Seengen,5707,AG
L4-8338614b,Frédéric,Charpié,1995-01-22,028 710 71 33,fcharpie965@gmail.com,2021-07-09,Bichelsee-Balterswil,Niederwies 8.1,Bichelsee,8363,TG
r1-7281598A,Julie,Tinguely,1990-10-26,+41 (0)90 393 23 99,julie_tinguely@sunrise.ch,2021-07-09,Baar,Schutzengelstrasse 24,Baar,6340,ZG
S9-1805696N,Samuel,Balmat,1956-02-16,+41 86 468 48 10,samuel.balmat@hispeed.ch,2021-07-09,Vacallo,Via Fornasette 3a,Vacallo,6833,TI
Y6-8869259x,Germaine,Rosselet,1948-06-08,025 596 30 95,germaine_rosselet@gmail.com,2021-07-09,Tafers,Steinackerweg 4a,Tafers,1712,FR
E2-2795135X,Pierre,Comment,1980-10-05,+41 (0)31 736 33 24,pierrecomment@bluewin.ch,2021-07-09,Schaffhausen,Floraweg 21,Schaffhausen,8200,SH
s0-4326333t,Jacques,Mayor,1944-08-10,+41 (0)90 716 31 05,jmayor647@yahoo.fr,2021-07-09,Lugano,Via Serafino Balestra 12,Lugano,6900,TI
a6-439341g,Christian,Corpataux,2001-08-04,+41 (0)48 047 22 88,christian_corpataux405@bluewin.ch,2021-07-09,Horgen,Seegartenstrasse 67,Horgen,8810,ZH
a6-9819953f,Valérie,Beguin,1961-01-23,040 283 79 91,v_beguin407@bluewin.ch,2021-07-09,St. Gallen,Wildeggstrasse 34,St. Gallen,9000,SG
B2-1634061B,Madeleine,Comment,1942-09-17,+41 89 381 19 64,madeleinecomment797@yahoo.fr,2021-07-09,Einsiedeln,Zürichstrasse 54.2,Einsiedeln,8840,SZ
b5-0269110d,Léa,Théraulaz,2003-04-08,+41 36 100 70 89,lea.theraulaz166@gmail.com,2021-07-09,Spiez,Eigerweg 15,Spiez,3700,BE
U9-0526184Z,Vincent,Rosselet,2001-09-12,046 530 85 18,vincent.rosselet@vtxnet.ch,2021-07-10,Wimmis,Hauptstrasse 72,Wimmis,3752,BE
F1-866955Q,Nathan,Sansonnens,1938-02-16,+41 64 362 25 19,nathansansonnens@hotmail.fr,2021-07-10,Schüpfheim,Moosmatte 1.1,Schüpfheim,6170,LU
x2-4219421x,Alain,Vonlanthen,1966-08-25,044 884 88 98,alainvonlanthen112@romandie.com,2021-07-10,Lugano,Via Antonio Vanoni 3,Lugano,6900,TI
k8-4351663l,Véronique,Cossy,1968-11-02,+41 73 434 10 12,veroniquecossy@vtxnet.ch,2021-07-10,Rorschacherberg,Paradiesstrasse 42,Rorschacherberg,9404,SG
Y1-0237370j,Denise,Uldry,2003-04-12,+41 (0)34 606 17 95,d.uldry@hispeed.ch,2021-07-10,Lausanne,Rue Saint-François 14,Lausanne,1003,VD
L3-4432984F,Maria,Piccand,1945-03-07,+41 (0)41 806 67 14,maria_piccand@vtxnet.ch,2021-07-10,Frutigen,Feldweg 4a,Frutigen,3714,BE
f9-5906630o,Alice,Broquet,1996-02-25,+41 (0)81 162 95 06,a.broquet@bluewin.ch,2021-07-10,Illnau-Effretikon,Im Brünneli 12,Effretikon,8307,ZH
D8-5883611t,Odette,Jacot-Guillarmod,1992-10-21,+41 97 997 61 03,odette.jacot-guillarmod783@bluewin.ch,2021-07-10,Küttigen,Lärchenstrasse 14.1,Küttigen,5024,AG
w6-7288578w,Clara,Droz,1935-11-21,+41 (0)67 433 14 57,c_droz312@hispeed.ch,2021-07-10,Jegenstorf,Bernfeldweg 14,Jegenstorf,3303,BE
m9-6768955g,Maxime,Isella,1963-03-28,+41 88 796 72 79,misella237@vtxnet.ch,2021-07-10,Oensingen,Burgweg 2,Oensingen,4702,SO
i1-2393992C,Pascal,Monnard,1972-04-10,052 372 49 42,p.monnard@gmail.com,2021-07-10,Zürich,Kasinostrasse 5,Zürich,8032,ZH
I4-4303668L,Caroline,Babey,1969-08-05,027 083 28 35,cbabey@hispeed.ch,2021-07-10,Rümlang,Leberbäumlistrasse 45.26,Rümlang,8153,ZH
k1-9802569f,Lisa,Paccot,1955-12-18,073 703 47 90,lpaccot@bluewin.ch,2021-07-10,Bex,Chemin des Verneys 5,Bex,1880,VD
s2-8022140U,Mathilde,Béguelin,1958-10-31,+41 97 547 12 49,m_beguelin@hotmail.fr,2021-07-10,Uster,Seestrasse 94.1,Uster,8610,ZH
G1-2029868x,Bernard,Thorens,1993-01-24,039 387 51 70,bthorens292@gmail.com,2021-07-10,Zürich,Zum Sillerblick 4,Zürich,8053,ZH
A8-8493444Z,Marianne,Béguelin,1958-05-11,+41 69 774 91 40,m_beguelin28@yahoo.fr,2021-07-10,Reinach AG,Pilatusstrasse 35,Reinach AG,5734,AG
K6-9917915P,Marianne,Droz,1955-07-16,035 577 90 99,m.droz@romandie.com,2021-07-10,Muttenz,Lächlenweg 1,Muttenz,4132,BL
t4-3643771I,Léa,Beurret,1941-11-16,068 294 91 64,l_beurret338@yahoo.fr,2021-07-10,Muttenz,Heissgländstrasse 24,Muttenz,4132,BL
m0-2858295k,Marcelle,Bernasconi,1944-11-17,+41 (0)93 818 83 32,m_bernasconi@hispeed.ch,2021-07-10,Plan-les-Ouates,Chemin du Pré-de-l'Oeuf 18.1,Plan-les-Ouates,1228,GE
S1-5147461r,Hélène,Mercier,1987-05-08,+41 (0)75 117 70 85,h.mercier@sunrise.ch,2021-07-10,Urdorf,Steinackerstrasse 26.1,Urdorf,8902,ZH
n3-4383096q,Thérèse,Bourquin,1947-03-03,052 238 17 06,therese_bourquin84@hotmail.fr,2021-07-10,Luzern,Würzenbachmatte 35,Luzern,6006,LU
C8-2162238Q,Philippe,Droz,1971-02-28,+41 (0)80 302 37 28,philippe.droz@bluewin.ch,2021-07-11,Allschwil,Hegenheimermattweg 70,Allschwil,4123,BL
T7-6929761F,Eric,Marty,1957-10-01,+41 (0)94 489 84 27,emarty@sunrise.ch,2021-07-11,Rümlang,Riedgrabenstrasse 7.1,Rümlang,8153,ZH
E4-1781070M,Bruno,Droz,1936-08-12,+41 52 598 73 83,b_droz@vtxnet.ch,2021-07-11,Bex,Chemin Philippe-Allamand 8a,Bex,1880,VD
T2-0489542D,Chantal,Rossellat,1963-09-14,+41 (0)41 972 85 56,c_rossellat39@gmail.com,2021-07-11,Wintersingen,Im Graben 25c,Wintersingen,4451,BL
d0-6746698G,Kevin,Grojean,1985-03-11,+41 62 896 45 17,kevingrojean@hotmail.fr,2021-07-11,Biel/Bienne,Juravorstadt / Faubourg du Jura 6,Biel/Bienne,2502,BE
r4-8095162A,Yvette,Humbert,1966-08-06,+41 79 682 75 72,y.humbert172@hotmail.fr,2021-07-11,Courgevaux,Ruelle du Village 6,Courgevaux,1796,FR
B0-9479181s,Claude,Delèze,2003-05-01,+41 80 891 93 81,cdeleze984@hispeed.ch,2021-07-11,Stein AR,Hägen 533,Stein AR,9063,AR
C6-7975030d,Charles,Pellet,1946-12-18,+41 (0)33 968 92 52,charles_pellet@yahoo.fr,2021-07-11,Russin,Route du Mandement 346,Russin,1281,GE
g0-1198747m,Samuel,Grand,1978-09-02,+41 (0)23 129 10 80,samuel.grand@romandie.com,2021-07-11,Münchenstein,Frankfurt-Strasse 90,Münchenstein,4142,BL
D7-8683706Q,Olivier,Bouvier,2003-08-01,050 078 90 97,o.bouvier@bluewin.ch,2021-07-11,Pratteln,In den Oberfeldreben 16b,Pratteln,4133,BL
C2-1031251k,Sandra,Cornuz,1962-11-11,+41 (0)68 743 96 63,sandra.cornuz@sunrise.ch,2021-07-11,Winterthur,Strahleggweg 2.1,Winterthur,8400,ZH
p4-9533085N,Albert,Chopard,1981-04-30,+41 (0)95 576 25 60,a.chopard@vtxnet.ch,2021-07-11,Frutigen,Simplongasse 1b,Frutigen,3714,BE
H6-5138141B,Zoé,Chatriand,1957-01-08,+41 56 154 08 57,zchatriand354@gmail.com,2021-07-11,Zuzwil SG,Herbergstrasse 26,Zuzwil SG,9524,SG
B9-7131483X,Jeanne,Alber,1974-11-23,+41 (0)26 153 51 85,j.alber@bluewin.ch,2021-07-11,Grenchen,Hessostrasse 6,Grenchen,2540,SO
g5-2679690K,Chloé,Bochud,1999-07-09,+41 (0)59 420 49 72,c_bochud@yahoo.fr,2021-07-11,Chur,Lukmaniergasse 7,Chur,7000,GR
N7-479616m,Hélène,Muriset,1939-09-29,+41 71 756 77 20,h_muriset@bluewin.ch,2021-07-11,Russikon,Kronenweg 6.3,Russikon,8332,ZH
W0-0657490l,Lisa,Charpié,1955-09-26,+41 (0)85 940 00 71,lisa.charpie@gmail.com,2021-07-11,Sion,Route de Nendaz 1,Sion,1950,VS
K9-1991071m,Elisa,Barillon,1956-03-23,042 370 83 18,e.barillon694@hispeed.ch,2021-07-12,Lausanne,Rue du Maupas 1,Lausanne,1003,VD
M0-761966b,Julie,Bourquard,1998-07-08,+41 46 974 49 30,jbourquard874@gmail.com,2021-07-12,Starrkirch-Wil,Schulstrasse 9a,Starrkirch-Wil,4656,SO
c4-5423540c,Madeleine,Cattin,1939-09-08,049 801 24 42,madeleinecattin537@romandie.com,2021-07-12,Crémines,Rue des Courtils 215a,Crémines,2746,BE
H0-7928925D,Ethan,Chenaux,1988-07-02,+41 23 622 31 74,echenaux200@romandie.com,2021-07-12,Subingen,Luzernstrasse 39a,Subingen,4553,SO
Y0-4159284q,Romain,Bonvin,1935-01-19,+41 23 551 02 37,romain.bonvin88@hotmail.fr,2021-07-12,Genève,Rue du Clos 4.1,Genève,1207,GE
a8-8974831D,Anna,Aebi,1955-05-29,+41 (0)69 331 17 69,anna.aebi@sunrise.ch,2021-07-12,Sembrancher,Route du Grand-St-Bernard 47,Sembrancher,1933,VS
n1-1542457T,Pierre,Chappuis,1983-07-09,+41 91 674 30 56,p_chappuis@bluewin.ch,2021-07-12,Kreuzlingen,Dammstrasse 18,Kreuzlingen,8280,TG
c5-0294422M,Camille,Nusslé,1980-07-22,+41 29 010 29 41,c.nussle560@hotmail.fr,2021-07-12,Rheinfelden,Stadtweg 47,Rheinfelden,4310,AG
r2-9558851u,Olivier,Duroux,1997-09-13,072 239 12 30,olivierduroux@vtxnet.ch,2021-07-12,Corminboeuf,Route de Montaubert 84,Corminboeuf,1720,FR
x2-7335933A,Georgette,Chatriant,1948-09-26,+41 (0)40 580 09 08,georgette_chatriant@hispeed.ch,2021-07-12,Thun,Arvenweg 32,Thun,3604,BE
p7-0082361S,Nelly,Polla,1944-06-23,+41 (0)93 242 53 42,nellypolla5@hispeed.ch,2021-07-12,Le Locle,Chemin des Malpierres 23.11,Le Locle,2400,NE
I9-2679025R,Claudine,Berberat,1952-01-23,+41 (0)68 309 88 44,cberberat416@gmail.com,2021-07-12,Bernex,Chemin de la Pesse 7.2,Bernex,1233,GE
w7-6272129C,Hélène,Délèze,1972-11-11,076 053 67 29,helene.deleze@vtxnet.ch,2021-07-12,Rüeggisberg,Hüsiweg 2,Rüeggisberg,3088,BE
l9-0765273I,Roland,Chopard,1995-03-18,036 390 41 33,rolandchopard@romandie.com,2021-07-12,Zürich,Bärenbohlstrasse 17a,Zürich,8046,ZH
Z2-4634178t,Sébastien,Duroux,1998-01-14,+41 52 487 87 47,sebastien_duroux510@bluewin.ch,2021-07-12,Bülach,Dachslenbergstrasse 20,Bülach,8180,ZH
D9-959878U,Laurence,Cossy,1950-05-17,+41 (0)73 491 26 61,laurencecossy@hotmail.fr,2021-07-12,Wangen SZ,Seestrasse 56b,Wangen SZ,8855,SZ
a7-5327276s,Elisa,Blanc,1979-11-25,+41 (0)23 049 38 49,e.blanc691@romandie.com,2021-07-12,Zollikon,Rotfluhstrasse 96,Zollikon,8702,ZH
X9-2688518n,Charles,Beuret,1980-05-05,+41 36 651 32 04,c_beuret@yahoo.fr,2021-07-13,Hochfelden,Rebhaldenstrasse 12.3,Hochfelden,8182,ZH
N8-8575812K,Nicolas,Badan,1985-06-24,+41 38 733 82 43,nbadan@hotmail.fr,2021-07-13,Bulle,Chemin Pauvre-Jacques 36,Bulle,1630,FR
d5-0438607L,Gérard,Coigny,1960-08-04,068 756 54 11,g.coigny@sunrise.ch,2021-07-13,Bournens,Chemin du Bugnon 7,Bournens,1035,VD
m6-6275917r,Patricia,Corbat,1967-06-17,072 081 32 08,patriciacorbat@bluewin.ch,2021-07-13,St. Gallen,Dürrenmattstrasse 24,St. Gallen,9000,SG
X9-7054461X,Christine,Jacot-Descombes,2001-12-06,+41 77 573 36 47,c_jacot-descombes697@hotmail.fr,2021-07-13,Vuisternens-devant-Romont,Impasse des Râpes 14a,Vuisternens-devant-Romont,1687,FR
K8-6957694r,Léo,Bernasconi,1975-02-15,+41 (0)30 299 18 70,leo_bernasconi@gmail.com,2021-07-13,Klosters,Murastrasse 48,Klosters,7250,GR
D6-1904152g,Alexandre,Saudan,1956-10-31,+41 (0)48 107 27 47,a_saudan98@yahoo.fr,2021-07-13,Ellikon an der Thur,Huebackerstrasse 16,Ellikon an der Thur,8548,ZH
G4-0552777m,Charlotte,Jomini,1979-03-02,+41 (0)96 962 55 04,charlottejomini186@hispeed.ch,2021-07-13,Zäziwil,Gewerbestrasse 4a,Zäziwil,3532,BE
S3-6032499w,Danielle,Marti,1955-01-17,050 924 40 07,dmarti@gmail.com,2021-07-13,Ettingen,Oberdorfgasse 16,Ettingen,4107,BL
M6-280449D,Odette,Beuchat,1961-02-15,+41 48 775 44 01,odette_beuchat102@romandie.com,2021-07-13,Luzern,Tribschenstrasse 56,Luzern,6005,LU
D6-7965547o,Elodie,Mottiez,1976-05-02,+41 49 229 60 35,emottiez872@romandie.com,2021-07-13,Lausanne,Rue Elisabeth-Jeanne-de-Cerjat 4,Lausanne,1018,VD
A2-7611124X,Odette,Tinguely,1986-06-06,+41 (0)49 949 63 36,o.tinguely715@gmail.com,2021-07-13,Vernier,Chemin de l'Echarpine 10,Vernier,1214,GE
R5-1782242I,Bernard,Balmat,1978-08-21,058 919 26 78,b_balmat@hispeed.ch,2021-07-13,Reinach BL,Mausackerweg 81,Reinach BL,4153,BL
K0-690409S,Fabienne,Chatriant,1972-09-24,+41 (0)48 404 16 65,f_chatriant623@sunrise.ch,2021-07-13,Le Lieu,Esserts de Rive Haut 9,Le Lieu,1345,VD
N9-7718417L,Roger,Babey,1985-05-16,+41 32 352 74 87,r_babey164@hotmail.fr,2021-07-13,Basel,Hirzbodenweg 17,Basel,4052,BS
u8-2077876q,Claudine,Grojean,1938-05-31,+41 71 087 56 77,claudine.grojean176@hotmail.fr,2021-07-13,Wädenswil,Schlossbergstrasse 26.1,Wädenswil,8820,ZH
P2-0049173q,Bruno,Rosselet,1939-02-22,+41 34 075 99 87,brosselet605@gmail.com,2021-07-13,Rafz,Chnübrächi 34,Rafz,8197,ZH
v7-606818C,Monique,Chevalley,1935-06-12,+41 (0)78 963 10 75,m.chevalley588@romandie.com,2021-07-14,Zürich,Brunnwiesenstrasse 2b,Zürich,8049,ZH
a8-6011314G,Christine,Duroux,1955-05-30,+41 (0)38 385 99 73,c_duroux@vtxnet.ch,2021-07-14,Volketswil,Schmiedgasse 12,Volketswil,8604,ZH
L5-5157389e,Véronique,Bernasconi,1947-01-07,+41 (0)50 953 34 20,veroniquebernasconi@hispeed.ch,2021-07-14,Porza,Via alla Campagna 19,Porza,6948,TI
X5-5299870Q,Marcelle,Humbert,1967-03-16,071 426 44 55,marcellehumbert916@bluewin.ch,2021-07-14,Schwyz,Rosenweg 5,Schwyz,6430,SZ
e7-0228892G,Caroline,Bochud,1986-07-29,+41 (0)62 344 01 26,carolinebochud816@yahoo.fr,2021-07-14,Quarten,Hienenbodenweg 843.1,Quarten,8883,SG
L1-4358662O,Stéphane,Curdy,1962-06-20,+41 (0)58 566 49 63,scurdy981@gmail.com,2021-07-14,Bätterkinden,Solothurnstrasse 43,Bätterkinden,3315,BE
r9-6439936k,Jacques,Besençon,1978-10-13,+41 38 185 57 05,jbesencon@romandie.com,2021-07-14,Thônex,Chemin du Bois-Des-ARTS 58,Thônex,1226,GE
B4-0895393D,Zoé,Carron,1948-03-16,+41 85 378 06 55,zoe_carron@yahoo.fr,2021-07-14,Kloten,Ruebisbachstrasse 56a.3,Kloten,8302,ZH
g3-7326158h,Fabienne,Chevrolet,1987-06-08,+41 (0)34 852 73 77,fchevrolet@hispeed.ch,2021-07-14,Basel,Hohe Winde-Strasse 112,Basel,4059,BS
t8-8982353n,Zoé,Rappaz,1973-01-02,+41 (0)33 687 50 58,zrappaz536@bluewin.ch,2021-07-14,Risch,Seefeld 10,Risch,6343,ZG
H3-7301215b,Sara,Matile,1945-08-06,+41 58 866 38 43,s.matile@gmail.com,2021-07-14,Onex,Chemin de la Traille 15,Onex,1213,GE
a3-3671056D,Alexandre,Mottiez,1941-06-19,042 449 59 82,alexandremottiez40@romandie.com,2021-07-14,Zürich,Fronwaldstrasse 15,Zürich,8046,ZH
k8-3683322N,Françoise,Diesbach,1967-04-18,035 537 71 15,francoisediesbach517@bluewin.ch,2021-07-14,Schlieren,Leemannstrasse 2,Schlieren,8952,ZH
J1-3851873s,Laetitia,Robadey,1949-09-25,+41 74 705 43 56,l.robadey677@vtxnet.ch,2021-07-14,Lupfig,Chappelstrasse 10,Lupfig,5242,AG
V4-5322113j,Lisa,Vuille,1948-11-10,+41 (0)55 549 64 98,lisa_vuille@hispeed.ch,2021-07-14,Zufikon,Bachstrasse 7.1,Zufikon,5621,AG
E3-3966282R,Roger,Théraulaz,1947-07-27,+41 43 971 32 80,r.theraulaz@vtxnet.ch,2021-07-14,Russikon,Plattenstrasse 15.3,Russikon,8332,ZH
q5-3011351h,Albert,Chenaux,2002-02-13,060 544 27 32,albert_chenaux@gmail.com,2021-07-14,Allaman,Route Suisse 3.1,Allaman,1165,VD
I8-5181366T,Vanessa,Alber,2000-11-28,067 694 74 83,vanessaalber419@yahoo.fr,2021-07-14,Scuol,Schinnas Sot 811,Scuol,7550,GR
s5-8049110R,Ethan,Cornuz,1990-10-01,027 030 11 89,e.cornuz@vtxnet.ch,2021-07-14,Ostermundigen,Obere Zollgasse 37,Ostermundigen,3072,BE
p0-051434Z,José,Monnet,1999-05-18,+41 (0)89 729 99 24,jose_monnet549@bluewin.ch,2021-07-14,Neuchâtel,Chemin de Bel-Air 55.2,Neuchâtel,2000,NE
L8-6878148s,Chloé,Chatriand,1989-10-23,064 479 54 07,c.chatriand@yahoo.fr,2021-07-15,Avry,Route des Tuileries 12,Avry-sur-Matran,1754,FR
i4-7222476D,Camille,Cornut,1987-05-26,+41 (0)95 259 16 14,ccornut@romandie.com,2021-07-15,Seuzach,Leberenstrasse 25,Seuzach,8472,ZH
g2-3112900i,Vanessa,Rossellat,1986-03-04,+41 (0)49 365 89 74,vanessarossellat@yahoo.fr,2021-07-15,Kloten,Speerstrasse 10,Kloten,8302,ZH
M5-078153J,Véronique,Bouvier,2004-02-27,062 606 69 38,veronique_bouvier571@sunrise.ch,2021-07-15,Genève,Avenue de Champel 31,Genève,1206,GE
k7-6621436n,Stéphane,Rapin,1933-08-18,+41 42 483 47 65,stephane.rapin145@romandie.com,2021-07-15,Chalais,Chemin des Zamplans 3b,Chalais,3966,VS
t7-826356J,Emma,Nüsslin,1963-07-11,079 340 15 00,enusslin554@romandie.com,2021-07-15,Fully,Route du Chavalard 4,Fully,1926,VS
u8-9589193G,Elisa,Piccand,1985-06-24,+41 (0)76 207 63 34,elisa.piccand@hispeed.ch,2021-07-15,Lancy,Chemin Louis-BURGY 24,Grand-Lancy,1212,GE
A6-2768245q,François,Cretton,1942-05-11,029 431 38 99,francois.cretton689@romandie.com,2021-07-15,Winterthur,Pflanzschulstrasse 8.1,Winterthur,8400,ZH
Y5-0888076d,Anne,Rapin,1958-04-12,028 282 95 02,a_rapin481@vtxnet.ch,2021-07-15,Winterthur,Adlerstrasse 14.2,Winterthur,8400,ZH
X2-3451714I,Michael,Jomini,1994-08-12,+41 (0)64 644 99 65,mjomini857@sunrise.ch,2021-07-15,Emmen,Nelkenstrasse 19,Emmen,6032,LU
y7-8684518q,Nathalie,Cossy,1995-04-23,073 833 40 77,ncossy@hotmail.fr,2021-07-15,Tschugg,Oberdorf 11a,Tschugg,3233,BE
O7-7365552P,Thomas,Monney,1985-04-20,+41 90 408 10 11,t_monney257@gmail.com,2021-07-15,Böttstein,Neumattweg 16.2,Böttstein,5315,AG
o9-8776108v,Suzanne,Gillièron,1967-03-22,+41 29 992 69 93,suzannegillieron@vtxnet.ch,2021-07-15,Münchenstein,Klusstrasse 20,Münchenstein,4142,BL
F2-8841176I,Maria,Gillièron,1950-10-16,+41 (0)84 934 24 68,mgillieron431@bluewin.ch,2021-07-15,Stäfa,Binzstrasse 27.1,Stäfa,8712,ZH
i9-5708499g,Claude,Cosandey,1955-01-29,+41 27 203 80 96,c.cosandey418@hotmail.fr,2021-07-15,Plan-les-Ouates,Route du Vélodrome 56,Plan-les-Ouates,1228,GE
L6-1787158D,Hélène,Morard,1977-12-21,028 276 46 81,helene_morard963@romandie.com,2021-07-15,Lyss,Beundengasse 31a,Lyss,3250,BE
l2-4132224m,Lucie,Barbey,1936-11-17,+41 (0)26 152 47 16,lbarbey@hotmail.fr,2021-07-15,Blonay - Saint-Légier,Chemin de Borée 6.1,Blonay,1807,VD
Q5-2133774s,Julie,Jacot-Descombes,1987-03-06,+41 31 636 59 88,j_jacot-descombes@vtxnet.ch,2021-07-16,Schöftland,Dorfstrasse 32.1,Schöftland,5040,AG
R5-1572120W,Thomas,Béguelin,1936-05-23,+41 (0)79 302 84 34,t.beguelin@yahoo.fr,2021-07-16,Zürich,Felsenrainstrasse 89,Zürich,8052,ZH
